gene_id	length	effective_length
Mca26433	258	258
Mca26434	276	276
Mca26435	753	753
Mca26436	279	279
Mca26437	456	456
Mca26438	249	249
Mca05747	306	306
Mca05748	489	489
Mca05749	1740	1740
Mca26439	465	465
Mca26440	546	546
Mca26441	462	462
Mca26442	666	666
Mca26443	321	321
Mca26444	354	354
Mca26445	1023	1023
Mca26446	1878	1878
Mca26447	231	231
Mca26448	519	519
Mca26449	402	402
Mca26450	1968	1968
Mca26451	1119	1119
Mca26452	1428	1428
Mca26453	423	423
Mca26454	411	411
Mca26455	1257	1257
Mca26456	384	384
Mca26457	366	366
Mca26458	495	495
Mca05750	1764	1764
Mca05751	849	849
Mca05752	2145	2145
Mca05753	252	252
Mca26459	846	846
Mca26460	252	252
Mca26461	756	756
Mca26462	384	384
Mca26463	3171	3171
Mca26464	348	348
Mca05754	1641	1641
Mca05755	213	213
Mca05756	564	564
Mca05757	777	777
Mca05758	1845	1845
Mca05759	1584	1584
Mca26465	2397	2397
Mca26466	2160	2160
Mca26467	642	642
Mca26468	534	534
Mca26469	693	693
Mca26470	1266	1266
Mca26471	330	330
Mca26472	351	351
Mca26473	2562	2562
Mca26474	1362	1362
Mca26475	1365	1365
Mca26476	429	429
Mca26477	579	579
Mca26478	495	495
Mca26479	306	306
Mca26480	480	480
Mca26481	261	261
Mca26482	2538	2538
Mca05760	204	204
Mca05761	498	498
Mca05762	276	276
Mca05763	432	432
Mca00904	777	777
Mca00905	264	264
Mca00906	267	267
Mca26483	498	498
Mca26484	285	285
Mca26485	240	240
Mca26486	327	327
Mca26487	885	885
Mca26488	327	327
Mca26489	471	471
Mca26490	444	444
Mca05764	1635	1635
Mca05765	1407	1407
Mca05766	870	870
Mca05767	267	267
Mca05768	1026	1026
Mca05769	492	492
Mca26491	2199	2199
Mca26492	531	531
Mca26493	1125	1125
Mca26494	405	405
Mca26495	2439	2439
Mca26496	504	504
Mca26497	420	420
Mca26498	1278	1278
Mca26499	969	969
Mca26500	1656	1656
Mca26501	3210	3210
Mca26502	381	381
Mca26503	519	519
Mca05770	333	333
Mca05771	267	267
Mca05772	357	357
Mca26504	1752	1752
Mca26505	342	342
Mca26506	645	645
Mca26507	774	774
Mca26508	2118	2118
Mca26509	357	357
Mca26510	312	312
Mca26511	555	555
Mca26512	399	399
Mca26513	438	438
Mca26514	840	840
Mca26515	333	333
Mca26516	366	366
Mca05773	1929	1929
Mca05774	3294	3294
Mca05775	762	762
Mca05776	414	414
Mca05777	855	855
Mca05778	1623	1623
Mca05779	387	387
Mca26517	783	783
Mca26518	1053	1053
Mca26519	561	561
Mca26520	681	681
Mca26521	1023	1023
Mca26522	1278	1278
Mca26523	711	711
Mca26524	327	327
Mca26525	255	255
Mca26526	324	324
Mca26527	750	750
Mca26528	531	531
Mca26529	261	261
Mca26530	1101	1101
Mca26531	480	480
Mca26532	456	456
Mca26533	513	513
Mca26534	3294	3294
Mca26535	1350	1350
Mca26536	891	891
Mca26537	501	501
Mca26538	387	387
Mca26539	3516	3516
Mca26540	549	549
Mca05780	1554	1554
Mca05781	1017	1017
Mca05782	411	411
Mca05783	1185	1185
Mca05784	255	255
Mca05785	1020	1020
Mca05786	1020	1020
Mca05787	963	963
Mca26541	681	681
Mca26542	285	285
Mca26543	1911	1911
Mca26544	1104	1104
Mca26545	2211	2211
Mca26546	918	918
Mca26547	741	741
Mca26548	1554	1554
Mca26549	681	681
Mca26550	2499	2499
Mca26551	345	345
Mca26552	1023	1023
Mca26553	690	690
Mca26554	693	693
Mca05788	960	960
Mca05789	4107	4107
Mca05790	1800	1800
Mca05791	669	669
Mca05792	1338	1338
Mca05793	2199	2199
Mca05794	1059	1059
Mca26555	693	693
Mca26556	351	351
Mca26557	3093	3093
Mca26558	1755	1755
Mca26559	234	234
Mca26560	435	435
Mca26561	294	294
Mca26562	249	249
Mca26563	1185	1185
Mca26564	579	579
Mca26565	405	405
Mca26566	309	309
Mca26567	1539	1539
Mca26568	639	639
Mca26569	462	462
Mca26570	312	312
Mca26571	393	393
Mca05795	492	492
Mca05796	471	471
Mca26572	693	693
Mca26573	534	534
Mca26574	522	522
Mca26575	2247	2247
Mca26576	348	348
Mca26577	615	615
Mca26578	663	663
Mca26579	339	339
Mca26580	681	681
Mca26581	1821	1821
Mca26582	435	435
Mca26583	672	672
Mca05797	1194	1194
Mca05798	660	660
Mca05799	4827	4827
Mca05800	1806	1806
Mca26584	786	786
Mca26585	1701	1701
Mca26586	1785	1785
Mca26587	2049	2049
Mca26588	420	420
Mca26589	276	276
Mca26590	351	351
Mca26591	942	942
Mca26592	714	714
Mca26593	252	252
Mca26594	888	888
Mca26595	528	528
Mca26596	1299	1299
Mca26597	543	543
Mca05801	1179	1179
Mca05802	1740	1740
Mca05803	1389	1389
Mca26598	891	891
Mca26599	552	552
Mca26600	282	282
Mca26601	456	456
Mca26602	2088	2088
Mca26603	594	594
Mca26604	2433	2433
Mca26605	333	333
Mca26606	441	441
Mca26607	390	390
Mca26608	300	300
Mca26609	492	492
Mca05804	654	654
Mca00907	1335	1335
Mca00908	357	357
Mca00909	849	849
Mca00910	699	699
Mca00911	3402	3402
Mca00912	1035	1035
Mca26610	282	282
Mca26611	366	366
Mca26612	1905	1905
Mca26613	330	330
Mca26614	438	438
Mca05805	1287	1287
Mca05806	1140	1140
Mca05807	3219	3219
Mca05808	345	345
Mca05809	264	264
Mca26615	495	495
Mca26616	468	468
Mca26617	978	978
Mca26618	996	996
Mca26619	1839	1839
Mca26620	2298	2298
Mca26621	519	519
Mca26622	1494	1494
Mca26623	708	708
Mca26624	1035	1035
Mca26625	1050	1050
Mca26626	681	681
Mca26627	546	546
Mca26628	441	441
Mca05810	705	705
Mca05811	291	291
Mca05812	378	378
Mca05813	1683	1683
Mca26629	264	264
Mca26630	1491	1491
Mca26631	2622	2622
Mca26632	1833	1833
Mca26633	402	402
Mca26634	1392	1392
Mca26635	384	384
Mca26636	1269	1269
Mca26637	258	258
Mca26638	1854	1854
Mca26639	1398	1398
Mca05814	741	741
Mca05815	906	906
Mca05816	1368	1368
Mca26640	1686	1686
Mca26641	789	789
Mca26642	204	204
Mca26643	609	609
Mca26644	318	318
Mca26645	2295	2295
Mca26646	681	681
Mca26647	1974	1974
Mca26648	504	504
Mca05817	402	402
Mca05818	336	336
Mca05819	336	336
Mca26649	648	648
Mca26650	363	363
Mca26651	582	582
Mca26652	342	342
Mca26653	576	576
Mca26654	750	750
Mca26655	288	288
Mca26656	1023	1023
Mca26657	321	321
Mca26658	330	330
Mca05820	1596	1596
Mca05821	330	330
Mca05822	309	309
Mca26659	1332	1332
Mca26660	402	402
Mca26661	396	396
Mca26662	348	348
Mca26663	297	297
Mca26664	867	867
Mca26665	384	384
Mca26666	1188	1188
Mca26667	354	354
Mca26668	1926	1926
Mca26669	759	759
Mca05823	387	387
Mca05824	573	573
Mca26670	264	264
Mca26671	498	498
Mca26672	780	780
Mca26673	819	819
Mca26674	2001	2001
Mca26675	1347	1347
Mca26676	459	459
Mca26677	2757	2757
Mca26678	921	921
Mca26679	465	465
Mca26680	273	273
Mca26681	366	366
Mca26682	528	528
Mca26683	363	363
Mca26684	1251	1251
Mca26685	333	333
Mca26686	507	507
Mca26687	507	507
Mca05825	429	429
Mca05826	822	822
Mca05827	375	375
Mca26688	327	327
Mca26689	759	759
Mca26690	309	309
Mca26691	270	270
Mca26692	345	345
Mca26693	2169	2169
Mca26694	657	657
Mca26695	1188	1188
Mca26696	1923	1923
Mca26697	591	591
Mca05828	777	777
Mca05829	1185	1185
Mca05830	399	399
Mca05831	390	390
Mca26698	576	576
Mca26699	1119	1119
Mca26700	351	351
Mca26701	600	600
Mca26702	1701	1701
Mca26703	273	273
Mca05832	339	339
Mca05833	924	924
Mca26704	855	855
Mca26705	852	852
Mca26706	1542	1542
Mca26707	507	507
Mca26708	411	411
Mca26709	750	750
Mca26710	510	510
Mca26711	636	636
Mca26712	1449	1449
Mca26713	477	477
Mca05834	516	516
Mca00913	300	300
Mca00914	261	261
Mca00915	351	351
Mca00916	339	339
Mca00917	234	234
Mca00918	675	675
Mca26714	1509	1509
Mca26715	306	306
Mca26716	804	804
Mca26717	1479	1479
Mca26718	351	351
Mca26719	492	492
Mca26720	702	702
Mca26721	3537	3537
Mca26722	288	288
Mca05835	483	483
Mca05836	339	339
Mca26723	411	411
Mca26724	258	258
Mca26725	1431	1431
Mca26726	1359	1359
Mca26727	504	504
Mca26728	738	738
Mca26729	1065	1065
Mca26730	1965	1965
Mca26731	456	456
Mca26732	582	582
Mca26733	1002	1002
Mca26734	207	207
Mca05837	1755	1755
Mca05838	540	540
Mca26735	420	420
Mca26736	1575	1575
Mca26737	1119	1119
Mca26738	588	588
Mca26739	417	417
Mca26740	513	513
Mca26741	1179	1179
Mca26742	492	492
Mca26743	576	576
Mca26744	1014	1014
Mca26745	360	360
Mca05839	780	780
Mca05840	432	432
Mca05841	549	549
Mca05842	1761	1761
Mca05843	3738	3738
Mca26746	891	891
Mca26747	1203	1203
Mca26748	1044	1044
Mca26749	453	453
Mca26750	1365	1365
Mca26751	711	711
Mca05844	2616	2616
Mca05845	324	324
Mca05846	5625	5625
Mca26752	276	276
Mca26753	831	831
Mca26754	459	459
Mca26755	495	495
Mca26756	888	888
Mca26757	432	432
Mca26758	420	420
Mca26759	429	429
Mca26760	369	369
Mca26761	534	534
Mca05847	1665	1665
Mca05848	654	654
Mca05849	294	294
Mca26762	858	858
Mca26763	2316	2316
Mca26764	2331	2331
Mca26765	1560	1560
Mca26766	1164	1164
Mca26767	5172	5172
Mca26768	300	300
Mca05850	396	396
Mca26769	378	378
Mca26770	249	249
Mca26771	564	564
Mca26772	858	858
Mca26773	306	306
Mca26774	471	471
Mca26775	690	690
Mca26776	837	837
Mca26777	906	906
Mca26778	681	681
Mca26779	318	318
Mca26780	780	780
Mca26781	345	345
Mca05851	675	675
Mca05852	528	528
Mca26782	375	375
Mca26783	528	528
Mca26784	531	531
Mca26785	945	945
Mca26786	330	330
Mca26787	921	921
Mca26788	300	300
Mca26789	759	759
Mca26790	819	819
Mca26791	591	591
Mca05853	396	396
Mca26792	330	330
Mca26793	1791	1791
Mca26794	1023	1023
Mca26795	654	654
Mca26796	933	933
Mca26797	1194	1194
Mca26798	861	861
Mca26799	741	741
Mca26800	822	822
Mca26801	867	867
Mca26802	324	324
Mca05854	1509	1509
Mca05855	1965	1965
Mca05856	411	411
Mca05857	402	402
Mca05858	861	861
Mca05859	432	432
Mca26803	723	723
Mca26804	450	450
Mca26805	414	414
Mca26806	327	327
Mca26807	462	462
Mca26808	1251	1251
Mca26809	348	348
Mca26810	1611	1611
Mca26811	645	645
Mca26812	534	534
Mca26813	723	723
Mca26814	786	786
Mca26815	330	330
Mca26816	570	570
Mca26817	621	621
Mca26818	807	807
Mca26819	252	252
Mca26820	1695	1695
Mca26821	1116	1116
Mca26822	360	360
Mca26823	645	645
Mca26824	807	807
Mca26825	240	240
Mca05860	495	495
Mca05861	276	276
Mca00919	1896	1896
Mca00920	2451	2451
Mca00921	1410	1410
Mca00922	1101	1101
Mca00923	321	321
Mca26826	423	423
Mca26827	522	522
Mca26828	780	780
Mca26829	399	399
Mca26830	3765	3765
Mca26831	282	282
Mca26832	429	429
Mca26833	954	954
Mca26834	1767	1767
Mca26835	255	255
Mca26836	336	336
Mca26837	1365	1365
Mca26838	441	441
Mca26839	909	909
Mca26840	480	480
Mca26841	678	678
Mca05862	477	477
Mca05863	2394	2394
Mca05864	261	261
Mca05865	249	249
Mca05866	1107	1107
Mca05867	417	417
Mca26842	1986	1986
Mca26843	336	336
Mca26844	1773	1773
Mca26845	477	477
Mca26846	534	534
Mca26847	2121	2121
Mca26848	987	987
Mca26849	312	312
Mca05868	384	384
Mca05869	888	888
Mca05870	342	342
Mca26850	1008	1008
Mca26851	204	204
Mca26852	393	393
Mca26853	522	522
Mca26854	228	228
Mca26855	921	921
Mca26856	2811	2811
Mca26857	1866	1866
Mca26858	315	315
Mca05871	4431	4431
Mca05872	3843	3843
Mca26859	912	912
Mca26860	1173	1173
Mca26861	1422	1422
Mca26862	1314	1314
Mca26863	843	843
Mca26864	828	828
Mca26865	429	429
Mca26866	321	321
Mca26867	303	303
Mca26868	501	501
Mca05873	282	282
Mca05874	357	357
Mca05875	2775	2775
Mca05876	528	528
Mca05877	375	375
Mca05878	747	747
Mca26869	753	753
Mca26870	813	813
Mca26871	1995	1995
Mca26872	1344	1344
Mca26873	1167	1167
Mca26874	726	726
Mca26875	2130	2130
Mca26876	357	357
Mca26877	891	891
Mca26878	1842	1842
Mca05879	471	471
Mca05880	384	384
Mca05881	708	708
Mca26879	891	891
Mca26880	288	288
Mca26881	840	840
Mca26882	495	495
Mca26883	435	435
Mca26884	1521	1521
Mca26885	1548	1548
Mca26886	1227	1227
Mca26887	1185	1185
Mca26888	450	450
Mca26889	327	327
Mca26890	375	375
Mca26891	975	975
Mca26892	780	780
Mca26893	339	339
Mca26894	579	579
Mca26895	297	297
Mca05882	321	321
Mca05883	2139	2139
Mca26896	336	336
Mca26897	585	585
Mca26898	420	420
Mca26899	318	318
Mca26900	444	444
Mca26901	1620	1620
Mca26902	1539	1539
Mca26903	498	498
Mca26904	270	270
Mca26905	531	531
Mca26906	1296	1296
Mca05884	234	234
Mca05885	939	939
Mca05886	507	507
Mca05887	2007	2007
Mca05888	450	450
Mca05889	264	264
Mca26907	966	966
Mca26908	549	549
Mca26909	237	237
Mca26910	534	534
Mca26911	963	963
Mca26912	1170	1170
Mca26913	2037	2037
Mca26914	795	795
Mca26915	618	618
Mca26916	222	222
Mca26917	5238	5238
Mca26918	294	294
Mca26919	1824	1824
Mca26920	1539	1539
Mca26921	786	786
Mca05890	1119	1119
Mca05891	531	531
Mca05892	567	567
Mca05893	231	231
Mca26922	1131	1131
Mca26923	297	297
Mca26924	777	777
Mca26925	576	576
Mca26926	333	333
Mca26927	594	594
Mca26928	462	462
Mca26929	1755	1755
Mca26930	300	300
Mca26931	477	477
Mca00924	627	627
Mca00925	327	327
Mca00926	309	309
Mca00927	834	834
Mca00928	3471	3471
Mca00929	939	939
Mca00930	717	717
Mca00931	1233	1233
Mca00932	357	357
Mca00933	1953	1953
Mca00934	255	255
Mca00935	735	735
Mca00936	1095	1095
Mca26932	411	411
Mca26933	846	846
Mca26934	2301	2301
Mca26935	837	837
Mca26936	453	453
Mca26937	807	807
Mca26938	1467	1467
Mca26939	1266	1266
Mca26940	675	675
Mca05894	591	591
Mca05895	1032	1032
Mca05896	3291	3291
Mca05897	276	276
Mca05898	273	273
Mca26941	1092	1092
Mca26942	894	894
Mca26943	435	435
Mca26944	4443	4443
Mca26945	1026	1026
Mca26946	915	915
Mca26947	300	300
Mca26948	510	510
Mca26949	294	294
Mca26950	357	357
Mca26951	270	270
Mca26952	282	282
Mca05899	357	357
Mca05900	318	318
Mca05901	1089	1089
Mca05902	1272	1272
Mca05903	666	666
Mca26953	258	258
Mca26954	495	495
Mca26955	972	972
Mca26956	402	402
Mca26957	600	600
Mca26958	333	333
Mca26959	321	321
Mca26960	534	534
Mca26961	1626	1626
Mca26962	999	999
Mca26963	402	402
Mca26964	333	333
Mca26965	891	891
Mca26966	315	315
Mca26967	1272	1272
Mca26968	1284	1284
Mca26969	1995	1995
Mca05904	939	939
Mca05905	315	315
Mca05906	1992	1992
Mca26970	324	324
Mca26971	348	348
Mca26972	621	621
Mca26973	954	954
Mca26974	1770	1770
Mca26975	1002	1002
Mca26976	1095	1095
Mca26977	729	729
Mca26978	1230	1230
Mca26979	1275	1275
Mca26980	1071	1071
Mca26981	690	690
Mca05907	267	267
Mca26982	384	384
Mca26983	4368	4368
Mca26984	315	315
Mca26985	831	831
Mca26986	4296	4296
Mca26987	663	663
Mca26988	576	576
Mca26989	585	585
Mca26990	294	294
Mca05908	1716	1716
Mca05909	1470	1470
Mca05910	471	471
Mca05911	756	756
Mca05912	717	717
Mca05913	315	315
Mca05914	363	363
Mca26991	1365	1365
Mca26992	2004	2004
Mca26993	402	402
Mca26994	819	819
Mca26995	693	693
Mca05915	2091	2091
Mca05916	441	441
Mca05917	1335	1335
Mca05918	1353	1353
Mca26996	978	978
Mca26997	798	798
Mca26998	2400	2400
Mca26999	711	711
Mca27000	252	252
Mca27001	5205	5205
Mca27002	2250	2250
Mca27003	846	846
Mca27004	1008	1008
Mca05919	381	381
Mca05920	303	303
Mca27005	1218	1218
Mca27006	945	945
Mca27007	591	591
Mca27008	738	738
Mca27009	837	837
Mca27010	1266	1266
Mca27011	2493	2493
Mca27012	828	828
Mca27013	906	906
Mca27014	1275	1275
Mca27015	654	654
Mca27016	522	522
Mca27017	300	300
Mca27018	963	963
Mca05921	2070	2070
Mca05922	1236	1236
Mca05923	1095	1095
Mca05924	1311	1311
Mca05925	1125	1125
Mca05926	1365	1365
Mca27019	552	552
Mca27020	5286	5286
Mca27021	801	801
Mca27022	1152	1152
Mca27023	1002	1002
Mca27024	288	288
Mca27025	294	294
Mca27026	453	453
Mca27027	318	318
Mca27028	636	636
Mca27029	363	363
Mca27030	1728	1728
Mca05927	408	408
Mca05928	375	375
Mca00937	1143	1143
Mca00938	1818	1818
Mca00939	648	648
Mca00940	1395	1395
Mca00941	807	807
Mca00942	1818	1818
Mca00943	1149	1149
Mca00944	282	282
Mca00945	1305	1305
Mca27031	258	258
Mca27032	285	285
Mca27033	2067	2067
Mca27034	459	459
Mca27035	408	408
Mca27036	345	345
Mca27037	360	360
Mca27038	342	342
Mca27039	786	786
Mca27040	909	909
Mca27041	300	300
Mca27042	471	471
Mca27043	678	678
Mca27044	1170	1170
Mca27045	399	399
Mca27046	1164	1164
Mca27047	486	486
Mca27048	504	504
Mca27049	1926	1926
Mca05929	22476	22476
Mca05930	1572	1572
Mca05931	555	555
Mca27050	1020	1020
Mca27051	597	597
Mca27052	1611	1611
Mca27053	603	603
Mca27054	414	414
Mca27055	441	441
Mca27056	2943	2943
Mca27057	351	351
Mca27058	345	345
Mca05932	747	747
Mca05933	621	621
Mca05934	336	336
Mca05935	480	480
Mca05936	321	321
Mca05937	381	381
Mca27059	885	885
Mca27060	1791	1791
Mca27061	630	630
Mca27062	1209	1209
Mca27063	981	981
Mca27064	957	957
Mca27065	351	351
Mca27066	540	540
Mca27067	1278	1278
Mca27068	450	450
Mca27069	2424	2424
Mca05938	3660	3660
Mca05939	306	306
Mca05940	1056	1056
Mca05941	519	519
Mca05942	1161	1161
Mca27070	549	549
Mca27071	261	261
Mca27072	765	765
Mca27073	366	366
Mca27074	804	804
Mca27075	801	801
Mca27076	345	345
Mca27077	3837	3837
Mca27078	1884	1884
Mca27079	756	756
Mca27080	450	450
Mca27081	306	306
Mca27082	351	351
Mca27083	546	546
Mca27084	366	366
Mca27085	615	615
Mca05943	465	465
Mca05944	402	402
Mca05945	378	378
Mca27086	498	498
Mca27087	276	276
Mca27088	927	927
Mca27089	2418	2418
Mca27090	1191	1191
Mca27091	1197	1197
Mca27092	1551	1551
Mca27093	594	594
Mca05946	1548	1548
Mca05947	642	642
Mca05948	282	282
Mca27094	1308	1308
Mca27095	390	390
Mca27096	1566	1566
Mca27097	1083	1083
Mca27098	1611	1611
Mca27099	1647	1647
Mca27100	498	498
Mca27101	489	489
Mca27102	1395	1395
Mca27103	516	516
Mca05949	249	249
Mca27104	750	750
Mca27105	531	531
Mca27106	816	816
Mca27107	1320	1320
Mca27108	1653	1653
Mca27109	858	858
Mca27110	792	792
Mca27111	1200	1200
Mca05950	954	954
Mca05951	672	672
Mca05952	240	240
Mca05953	621	621
Mca05954	1764	1764
Mca05955	1173	1173
Mca27112	948	948
Mca27113	738	738
Mca27114	642	642
Mca27115	2973	2973
Mca27116	2274	2274
Mca27117	1269	1269
Mca27118	465	465
Mca27119	378	378
Mca27120	240	240
Mca27121	1740	1740
Mca05956	471	471
Mca05957	1623	1623
Mca05958	954	954
Mca27122	2340	2340
Mca27123	1347	1347
Mca27124	1953	1953
Mca27125	270	270
Mca27126	459	459
Mca27127	471	471
Mca27128	378	378
Mca27129	351	351
Mca27130	1578	1578
Mca05959	618	618
Mca05960	258	258
Mca05961	324	324
Mca05962	903	903
Mca05963	1938	1938
Mca05964	240	240
Mca05965	3129	3129
Mca27131	309	309
Mca27132	2196	2196
Mca27133	1239	1239
Mca27134	5223	5223
Mca27135	933	933
Mca27136	315	315
Mca27137	1437	1437
Mca27138	618	618
Mca27139	387	387
Mca27140	5190	5190
Mca27141	1467	1467
Mca27142	1188	1188
Mca27143	747	747
Mca27144	492	492
Mca27145	2367	2367
Mca05966	342	342
Mca05967	555	555
Mca00946	408	408
Mca00947	1506	1506
Mca27146	813	813
Mca27147	324	324
Mca27148	507	507
Mca27149	1992	1992
Mca27150	1842	1842
Mca27151	315	315
Mca27152	1731	1731
Mca05968	423	423
Mca05969	291	291
Mca05970	291	291
Mca27153	771	771
Mca27154	414	414
Mca27155	780	780
Mca27156	831	831
Mca27157	333	333
Mca27158	2328	2328
Mca27159	318	318
Mca27160	561	561
Mca27161	1191	1191
Mca05971	729	729
Mca05972	288	288
Mca05973	345	345
Mca05974	273	273
Mca27162	396	396
Mca27163	261	261
Mca27164	669	669
Mca27165	570	570
Mca27166	486	486
Mca27167	2004	2004
Mca27168	411	411
Mca27169	1101	1101
Mca05975	363	363
Mca05976	1140	1140
Mca27170	1419	1419
Mca27171	2043	2043
Mca27172	279	279
Mca27173	1638	1638
Mca27174	282	282
Mca27175	336	336
Mca27176	1932	1932
Mca27177	795	795
Mca27178	390	390
Mca27179	330	330
Mca27180	2016	2016
Mca27181	1098	1098
Mca05977	1551	1551
Mca05978	1227	1227
Mca05979	1635	1635
Mca05980	522	522
Mca27182	390	390
Mca27183	1062	1062
Mca27184	762	762
Mca27185	1416	1416
Mca27186	1521	1521
Mca27187	438	438
Mca27188	1827	1827
Mca27189	597	597
Mca27190	777	777
Mca27191	408	408
Mca05981	411	411
Mca05982	273	273
Mca27192	402	402
Mca27193	363	363
Mca27194	2889	2889
Mca27195	270	270
Mca27196	720	720
Mca27197	417	417
Mca27198	354	354
Mca27199	1305	1305
Mca27200	912	912
Mca27201	411	411
Mca27202	501	501
Mca27203	633	633
Mca27204	789	789
Mca27205	918	918
Mca27206	1581	1581
Mca27207	2625	2625
Mca27208	321	321
Mca27209	237	237
Mca27210	1074	1074
Mca27211	519	519
Mca27212	288	288
Mca27213	294	294
Mca27214	432	432
Mca27215	471	471
Mca05983	2724	2724
Mca05984	906	906
Mca05985	1149	1149
Mca05986	558	558
Mca27216	579	579
Mca27217	1071	1071
Mca27218	627	627
Mca27219	3534	3534
Mca27220	1155	1155
Mca27221	339	339
Mca27222	474	474
Mca27223	687	687
Mca27224	675	675
Mca27225	690	690
Mca27226	1413	1413
Mca27227	645	645
Mca27228	678	678
Mca27229	1851	1851
Mca27230	567	567
Mca05987	2082	2082
Mca27231	261	261
Mca27232	750	750
Mca27233	681	681
Mca27234	639	639
Mca27235	648	648
Mca27236	291	291
Mca27237	495	495
Mca05988	531	531
Mca05989	921	921
Mca05990	426	426
Mca05991	951	951
Mca05992	1101	1101
Mca27238	2052	2052
Mca27239	447	447
Mca27240	1245	1245
Mca27241	2856	2856
Mca27242	873	873
Mca27243	456	456
Mca27244	303	303
Mca27245	333	333
Mca27246	603	603
Mca27247	1008	1008
Mca05993	2544	2544
Mca05994	381	381
Mca05995	1398	1398
Mca05996	453	453
Mca00948	390	390
Mca00949	1083	1083
Mca00950	597	597
Mca00951	561	561
Mca00952	504	504
Mca00953	1158	1158
Mca27248	876	876
Mca27249	1413	1413
Mca27250	282	282
Mca27251	246	246
Mca27252	276	276
Mca27253	1050	1050
Mca27254	324	324
Mca27255	909	909
Mca27256	930	930
Mca27257	207	207
Mca27258	1401	1401
Mca05997	678	678
Mca05998	654	654
Mca27259	471	471
Mca27260	798	798
Mca27261	738	738
Mca27262	516	516
Mca27263	465	465
Mca27264	267	267
Mca27265	1257	1257
Mca27266	369	369
Mca27267	306	306
Mca27268	711	711
Mca27269	750	750
Mca27270	702	702
Mca27271	1620	1620
Mca27272	1299	1299
Mca05999	2040	2040
Mca06000	816	816
Mca06001	264	264
Mca06002	279	279
Mca27273	858	858
Mca27274	852	852
Mca27275	378	378
Mca27276	555	555
Mca27277	321	321
Mca27278	501	501
Mca27279	327	327
Mca27280	354	354
Mca27281	402	402
Mca27282	348	348
Mca27283	315	315
Mca27284	1911	1911
Mca27285	876	876
Mca27286	1536	1536
Mca06003	1254	1254
Mca27287	735	735
Mca27288	273	273
Mca27289	732	732
Mca27290	339	339
Mca27291	1059	1059
Mca27292	504	504
Mca27293	309	309
Mca27294	405	405
Mca27295	648	648
Mca27296	978	978
Mca27297	648	648
Mca27298	327	327
Mca27299	759	759
Mca27300	384	384
Mca27301	1293	1293
Mca27302	897	897
Mca27303	570	570
Mca27304	363	363
Mca06004	681	681
Mca06005	3528	3528
Mca06006	516	516
Mca06007	270	270
Mca27305	615	615
Mca27306	990	990
Mca27307	852	852
Mca27308	246	246
Mca27309	873	873
Mca27310	1938	1938
Mca27311	324	324
Mca27312	675	675
Mca27313	855	855
Mca27314	549	549
Mca27315	252	252
Mca27316	417	417
Mca06008	456	456
Mca06009	1965	1965
Mca27317	477	477
Mca27318	1935	1935
Mca27319	1434	1434
Mca27320	3921	3921
Mca27321	720	720
Mca27322	1074	1074
Mca27323	756	756
Mca27324	1977	1977
Mca27325	489	489
Mca27326	1344	1344
Mca27327	372	372
Mca27328	1365	1365
Mca27329	411	411
Mca27330	324	324
Mca27331	627	627
Mca27332	1512	1512
Mca27333	675	675
Mca27334	627	627
Mca06010	690	690
Mca06011	342	342
Mca27335	972	972
Mca27336	807	807
Mca27337	810	810
Mca27338	1050	1050
Mca27339	1953	1953
Mca27340	1629	1629
Mca27341	480	480
Mca27342	273	273
Mca27343	489	489
Mca27344	387	387
Mca27345	609	609
Mca27346	1053	1053
Mca06012	1386	1386
Mca27347	297	297
Mca27348	969	969
Mca27349	1059	1059
Mca27350	1065	1065
Mca27351	285	285
Mca27352	1245	1245
Mca27353	633	633
Mca27354	480	480
Mca27355	366	366
Mca27356	255	255
Mca27357	1248	1248
Mca27358	573	573
Mca27359	534	534
Mca27360	480	480
Mca27361	870	870
Mca27362	483	483
Mca27363	612	612
Mca27364	2235	2235
Mca27365	2661	2661
Mca06013	468	468
Mca00954	576	576
Mca00955	699	699
Mca00956	2223	2223
Mca00957	336	336
Mca00958	399	399
Mca00147	228	228
Mca00148	1380	1380
Mca00149	1539	1539
Mca00150	522	522
Mca00151	2844	2844
Mca00152	213	213
Mca00153	2910	2910
Mca00154	591	591
Mca00155	1521	1521
Mca00156	987	987
Mca00157	1437	1437
Mca00158	1710	1710
Mca00159	1890	1890
Mca00160	699	699
Mca00161	1206	1206
Mca27366	1227	1227
Mca27367	1455	1455
Mca27368	393	393
Mca27369	468	468
Mca27370	303	303
Mca27371	657	657
Mca27372	297	297
Mca27373	357	357
Mca27374	252	252
Mca27375	1479	1479
Mca06014	288	288
Mca06015	438	438
Mca06016	723	723
Mca27376	348	348
Mca27377	522	522
Mca27378	1209	1209
Mca27379	930	930
Mca27380	843	843
Mca27381	2178	2178
Mca06017	3300	3300
Mca06018	468	468
Mca06019	237	237
Mca06020	984	984
Mca06021	489	489
Mca06022	1644	1644
Mca27382	573	573
Mca27383	351	351
Mca27384	507	507
Mca27385	612	612
Mca27386	300	300
Mca27387	399	399
Mca27388	312	312
Mca27389	846	846
Mca27390	1977	1977
Mca27391	711	711
Mca27392	1158	1158
Mca27393	297	297
Mca27394	555	555
Mca27395	396	396
Mca27396	384	384
Mca27397	321	321
Mca06023	312	312
Mca06024	1119	1119
Mca06025	687	687
Mca27398	336	336
Mca27399	582	582
Mca27400	450	450
Mca27401	780	780
